Outlet,Figure,Sentiment,Date,Sentiment_Numeric,Weighted_Mean
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Neutral,april_16,0.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Neutral,april_16,0.0,-0.6064139941690962
FOX,Biden,Neutral,april_16,0.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Biden,Negative,april_16,-1.0,-0.6064139941690962
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
FOX,Trump,Positive,april_16,1.0,-0.06451612903225806
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
FOX,Trump,Negative,april_16,-1.0,-0.06451612903225806
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
FOX,Trump,Positive,april_16,1.0,-0.06451612903225806
FOX,Trump,Negative,april_16,-1.0,-0.06451612903225806
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
FOX,Trump,Negative,april_16,-1.0,-0.06451612903225806
FOX,Trump,Negative,april_16,-1.0,-0.06451612903225806
FOX,Trump,Negative,april_16,-1.0,-0.06451612903225806
FOX,Trump,Positive,april_16,1.0,-0.06451612903225806
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
FOX,Trump,Positive,april_16,1.0,-0.06451612903225806
FOX,Trump,Positive,april_16,1.0,-0.06451612903225806
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
FOX,Trump,Negative,april_16,-1.0,-0.06451612903225806
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
FOX,Trump,Negative,april_16,-1.0,-0.06451612903225806
FOX,Trump,Positive,april_16,1.0,-0.06451612903225806
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
FOX,Trump,Negative,april_16,-1.0,-0.06451612903225806
FOX,Trump,Negative,april_16,-1.0,-0.06451612903225806
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
FOX,Trump,Negative,april_16,-1.0,-0.06451612903225806
FOX,Trump,Neutral,april_16,0.0,-0.06451612903225806
NBC,Biden,Neutral,april_16,0.0,0.38235294117647056
NBC,Biden,Neutral,april_16,0.0,0.38235294117647056
NBC,Biden,Neutral,april_16,0.0,0.38235294117647056
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Negative,april_16,-1.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Negative,april_16,-1.0,-0.2328767123287671
NBC,Trump,Negative,april_16,-1.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Negative,april_16,-1.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Negative,april_16,-1.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
NBC,Trump,Neutral,april_16,0.0,-0.2328767123287671
